,Unnamed: 0,Unnamed: 0.1,count,references
222,223,See Algebra and Arithmetic,2,Algebra and Arithmetic
219,220,See Alcoran,2,Alcoran
215,216,See Mtm,2,Mtm
216,217,See Fifth Report of the Select Committee on India Affairs,2,Fifth Report of the Select Committee on India Affairs
217,218,See Astronomy and Geography,2,Astronomy and Geography
218,219,See Nile,2,Nile
220,221,See Poland,2,Poland
221,222,See Broach,2,Broach
207,208,"See Aleutian
Islands",2,"Aleutian
Islands"
208,209,See Fabricii Binliotheca Latina,2,Fabricii Binliotheca Latina
196,197,See the article Government,2,the article Government
206,207,See Dialling,2,Dialling
224,225,See Evidence of T,2,Evidence of T
190,191,See Mr,2,Mr
191,192,See also Regne Animal,2,also Regne Animal
192,193,See Mining,2,Mining
193,194,See Conic Sections,2,Conic Sections
194,195,See Drama,2,Drama
195,196,See Chivalry,2,Chivalry
197,198,See Jamaica,2,Jamaica
205,206,See Italy,2,Italy
198,199,See Egypt,2,Egypt
199,200,See Leg,2,Leg
200,201,See Epist,2,Epist
201,202,See Claro Obscuro,2,Claro Obscuro
202,203,See Morayshire,2,Morayshire
204,205,See also M,2,also M
223,224,See Journal de Physique,2,Journal de Physique
235,236,See Edinburgh Phil,2,Edinburgh Phil
225,226,See Geometry,2,Geometry
251,252,See Costaz,2,Costaz
245,246,See History of Australasia,2,History of Australasia
246,247,See the article Metaphysics,2,the article Metaphysics
247,248,See Degeer,2,Degeer
248,249,See Cyanite,2,Cyanite
249,250,See Note CC,2,Note CC
250,251,See Esquire,2,Esquire
252,253,See Eloge Historique de M,2,Eloge Historique de M
226,227,See Aeronautics,2,Aeronautics
253,254,See article Egypt,2,article Egypt
254,255,"See Appen
dix to Ferguson’s Lectures",2,"Appen
dix to Ferguson’s Lectures"
255,256,See House of Commons Papers,2,House of Commons Papers
256,257,See the article Wool,2,the article Wool
257,258,See High,2,High
188,189,See Panama,2,Panama
244,245,See Duel,2,Duel
243,244,See Dry Rot),2,Dry Rot)
242,243,See article Bridge,2,article Bridge
241,242,See Apparitions,2,Apparitions
240,241,See Fount,2,Fount
239,240,See Sweden,2,Sweden
238,239,See the article Linraries,2,the article Linraries
237,238,See Pneumatics,2,Pneumatics
236,237,See Sect,2,Sect
234,235,See Fifth Report,2,Fifth Report
233,234,See Bankruptcy,2,Bankruptcy
232,233,"See Vegetable
Physiology",2,"Vegetable
Physiology"
231,232,See the article Cohesion,2,the article Cohesion
230,231,See Polytheism,2,Polytheism
229,230,See Eustyle,2,Eustyle
228,229,See Afghanistan,2,Afghanistan
227,228,See Communications to the Board of Agriculture,2,Communications to the Board of Agriculture
189,190,See Iona,2,Iona
203,204,See Broker,2,Broker
187,188,See Wide,2,Wide
143,144,See Mary,2,Mary
137,138,See also Phil,2,also Phil
138,139,See Report of Select Committee on East India Affairs,2,Report of Select Committee on East India Affairs
139,140,See the articles England,2,the articles England
140,141,See Constantinople,2,Constantinople
141,142,See the article Mexico,2,the article Mexico
142,143,See Rtgne Animal,2,Rtgne Animal
144,145,See the article Magnetism,2,the article Magnetism
134,135,See Dialing,2,Dialing
145,146,See Descent,2,Descent
146,147,"See Ento
mology",2,"Ento
mology"
147,148,See Spain,2,Spain
148,149,See Inverness-shire,2,Inverness-shire
149,150,See Binle,2,Binle
150,151,See Sculpture,2,Sculpture
135,136,See Diamond,2,Diamond
133,134,See Jomini,2,Jomini
152,153,See Entomologia Edinensis,2,Entomologia Edinensis
124,125,See Parliament,2,Parliament
186,187,See the article Atmosphere,2,the article Atmosphere
119,120,"See He
raldry",2,"He
raldry"
120,121,See Ireland,2,Ireland
121,122,See Perspective,2,Perspective
122,123,See Farriery,2,Farriery
123,124,See Life of Sir Thomas Munro,2,Life of Sir Thomas Munro
125,126,See Netherlands,2,Netherlands
132,133,See Congo,2,Congo
126,127,See the article Grammar,2,the article Grammar
127,128,See Calendar),2,Calendar)
128,129,See Building,2,Building
129,130,See Girgenti,2,Girgenti
130,131,See China,2,China
131,132,See the article Botany,2,the article Botany
151,152,See Edinburgh Journal of Science,2,Edinburgh Journal of Science
136,137,See Baking,2,Baking
153,154,See Philosophical Magazine,2,Philosophical Magazine
178,179,See Metallurgy,2,Metallurgy
172,173,See Meteorology and Optics,2,Meteorology and Optics
173,174,See Stenography,2,Stenography
185,186,See Paris,2,Paris
174,175,"See En
tomology",2,"En
tomology"
176,177,See Art,2,Art
177,178,See Pyrotechny,2,Pyrotechny
179,180,See Feudal System,2,Feudal System
170,171,See Ionian Islands,2,Ionian Islands
180,181,See Clock and Watch Work,2,Clock and Watch Work
181,182,See Geology and Mineralogy,2,Geology and Mineralogy
182,183,See Feudal Law,2,Feudal Law
183,184,See Barretry,2,Barretry
154,155,See Nov,2,Nov
184,185,See Karnes’s Sketches,2,Karnes’s Sketches
171,172,See Physics,2,Physics
175,176,See Dairy,2,Dairy
169,170,See Spar,2,Spar
162,163,See Funding System,2,Funding System
156,157,See Realgar,2,Realgar
155,156,See Automalite,2,Automalite
157,158,See Persia,2,Persia
158,159,See Punctuation,2,Punctuation
159,160,See Optics),2,Optics)
161,162,See Tables of the Revenue,2,Tables of the Revenue
160,161,"See Me
chanics",2,"Me
chanics"
163,164,See Planting,2,Planting
164,165,See also,2,also
165,166,See United States,2,United States
166,167,See Athens,2,Athens
167,168,See Turkey,2,Turkey
168,169,See Zetland,2,Zetland
1859,1860,See Note AA,1,Note AA
1853,1854,"See De-
moivre’s Doctrine of Chancesf
PHARISEES",1,"De-
moivre’s Doctrine of Chancesf
PHARISEES"
1854,1855,See Silieus ItaL,1,Silieus ItaL
1855,1856,See Travels in Bclochistan and Sinde,1,Travels in Bclochistan and Sinde
1856,1857,See Image,1,Image
1857,1858,"See Metaphysics and Moral Philo
sophy",1,"Metaphysics and Moral Philo
sophy"
1858,1859,"See Figure
of the Earth",1,"Figure
of the Earth"
1865,1866,See Mekka,1,Mekka
1860,1861,"See the
article Deluge",1,"the
article Deluge"
1861,1862,"See ee
force that the column will bear : and for a cylinder we find",1,"ee
force that the column will bear : and for a cylinder we find"
1862,1863,See Candahar,1,Candahar
1863,1864,"See the arti
cles Glass",1,"the arti
cles Glass"
1864,1865,See the observations prefixed to the translation of Spallanzani's Tracts,1,the observations prefixed to the translation of Spallanzani's Tracts
1866,1867,See Mill’s New Testament,1,Mill’s New Testament
1851,1852,See Edinburgh Philosophical Journal,1,Edinburgh Philosophical Journal
1852,1853,See Precis Historique sur la Fondation,1,Precis Historique sur la Fondation
1836,1837,See the annexed sketch,1,the annexed sketch
1850,1851,See American Railroad Journal,1,American Railroad Journal
1849,1850,See the article Abmy,1,the article Abmy
1868,1869,"See a record to this pur
pose of Henry III",1,"a record to this pur
pose of Henry III"
1834,1835,See Thirty-fourth Report of ihe Canal Commission,1,Thirty-fourth Report of ihe Canal Commission
1835,1836,See Land- and Edin,1,Land- and Edin
1837,1838,See § 135),1,§ 135)
1838,1839,See Lyell in Geol,1,Lyell in Geol
1839,1840,"See the article Bleaching
in this Encyclopaedia",1,"the article Bleaching
in this Encyclopaedia"
1840,1841,See Memoire sur le Systfme Penitentiaire address^ a M,1,Memoire sur le Systfme Penitentiaire address^ a M
1841,1842,See § 175,1,§ 175
1842,1843,See Weaving,1,Weaving
1843,1844,See Fencing,1,Fencing
1844,1845,See Reyurt of the Committee of the Society of Arts,1,Reyurt of the Committee of the Society of Arts
1845,1846,See also Sir William Drummond’s Academwal Qoestions,1,also Sir William Drummond’s Academwal Qoestions
1846,1847,"See also the same writer’s translation of King’s
METAPHYSICS",1,"also the same writer’s translation of King’s
METAPHYSICS"
1847,1848,See article Blind,1,article Blind
1848,1849,See Blind,1,Blind
1867,1868,See Prony’s Recherches Physico-mathematiques sur la Theorie des Eaux Courantes,1,Prony’s Recherches Physico-mathematiques sur la Theorie des Eaux Courantes
1901,1902,See Faber’sIlora: Mosaica,1,Faber’sIlora: Mosaica
1869,1870,"See Paha- Eder
DISE",1,"Paha- Eder
DISE"
1888,1889,See Supplement to the fifth and sixth editions of this work,1,Supplement to the fifth and sixth editions of this work
1890,1891,See Lord King’s Life of John Locke,1,Lord King’s Life of John Locke
1891,1892,See Biographic Univertelle,1,Biographic Univertelle
1892,1893,"See likewise Dr Geddes’s Modest Apology tor
the Roman Catholics of Great Britain",1,"likewise Dr Geddes’s Modest Apology tor
the Roman Catholics of Great Britain"
1893,1894,See Music and Principal,1,Music and Principal
1894,1895,See Borsjnis Essai,1,Borsjnis Essai
1895,1896,See Hr Mitchell’s Presbyterian Letters,1,Hr Mitchell’s Presbyterian Letters
1896,1897,"See St
Domingo",1,"St
Domingo"
1897,1898,See Cuvier’s Comparative Anatomy,1,Cuvier’s Comparative Anatomy
1898,1899,See Acta SS,1,Acta SS
1899,1900,See Jesus,1,Jesus
1900,1901,See Foreign Review,1,Foreign Review
1832,1833,See Philoiophical Transactions,1,Philoiophical Transactions
1902,1903,See Perpetual Motion,1,Perpetual Motion
1903,1904,"See the article Physi
cal Geography",1,"the article Physi
cal Geography"
1904,1905,See Appendix,1,Appendix
1889,1890,See article Guignes,1,article Guignes
1887,1888,"See Arnold’s
History of Rome",1,"Arnold’s
History of Rome"
1870,1871,See Friendly Societies,1,Friendly Societies
1886,1887,"See the articles Schools and Uni-
leeth",1,"the articles Schools and Uni-
leeth"
1871,1872,See abstract of the budget in the Bulletin des Sciences Mililaircs,1,abstract of the budget in the Bulletin des Sciences Mililaircs
1872,1873,See the article Bithynia,1,the article Bithynia
1873,1874,See Dictionnaire de Binliologie,1,Dictionnaire de Binliologie
1874,1875,See Binl,1,Binl
1875,1876,"See note to Hexa-
Plsis",1,"note to Hexa-
Plsis"
1876,1877,See Chile,1,Chile
1877,1878,See Imagination,1,Imagination
1878,1879,See Traitc des plus belles Binliotldques,1,Traitc des plus belles Binliotldques
1879,1880,"See also his Letters on Na-
Bnll",1,"also his Letters on Na-
Bnll"
1880,1881,"See Minera
logy",1,"Minera
logy"
1881,1882,See Stillingfleet’s Origines Sacra,1,Stillingfleet’s Origines Sacra
1882,1883,See Calmet,1,Calmet
1883,1884,See Hornblende basaltic,1,Hornblende basaltic
1884,1885,See the articles Figure of the Earth,1,the articles Figure of the Earth
1885,1886,See the article Arithmetic,1,the article Arithmetic
1833,1834,See Chromatics and Optics,1,Chromatics and Optics
1798,1799,See his Essay on Trade,1,his Essay on Trade
1831,1832,See also Della Lette,1,also Della Lette
1775,1776,See also De Guignes,1,also De Guignes
1777,1778,"See the
First Preliminary Dissertation",1,"the
First Preliminary Dissertation"
1778,1779,See Portico),1,Portico)
1779,1780,See lin,1,lin
1780,1781,See Seamanship,1,Seamanship
1781,1782,See Mauritius,1,Mauritius
1782,1783,See Ironstone,1,Ironstone
1783,1784,See Interval and Music,1,Interval and Music
1784,1785,See the Acts of the Apostles,1,the Acts of the Apostles
1785,1786,See Gall,1,Gall
1786,1787,See Sapphire,1,Sapphire
1787,1788,See the fine remarks of Bishop Warburton,1,the fine remarks of Bishop Warburton
1788,1789,See Arbitrator,1,Arbitrator
1789,1790,See Laquer,1,Laquer
1790,1791,"See the Edinburgh
ijfltlli",1,"the Edinburgh
ijfltlli"
1791,1792,See Etruria,1,Etruria
1776,1777,See Chabasie,1,Chabasie
1774,1775,"See the Dissertations prefixed to
this Work by Mr Dugald Stewart and Sir James Mac
kintosh",1,"the Dissertations prefixed to
this Work by Mr Dugald Stewart and Sir James Mac
kintosh"
1830,1831,"See his Cata
logue of the Entozoa indigenous to Ireland",1,"his Cata
logue of the Entozoa indigenous to Ireland"
1773,1774,"See his
",1,"his
"
1906,1907,See Debates in the House of Commons,1,Debates in the House of Commons
1759,1760,See Third Annual Report of the Colonization Commissioners for South Australia,1,Third Annual Report of the Colonization Commissioners for South Australia
1760,1761,See v°l,1,v°l
1761,1762,See also the article Painting,1,also the article Painting
1762,1763,See Aberdeenshire,1,Aberdeenshire
1763,1764,"See Thucvd iii 82 ’ "" ~ ~ ""
In Xenoph",1,"Thucvd iii 82 ’ "" ~ ~ ""
In Xenoph"
1764,1765,See Pipe,1,Pipe
1765,1766,See Beirout,1,Beirout
1766,1767,See Kent,1,Kent
1767,1768,See Tunqcfn,1,Tunqcfn
1768,1769,See Stapferi Theologiae Polemicae Institutiones,1,Stapferi Theologiae Polemicae Institutiones
1769,1770,See Humboldt’s Personal Narrative,1,Humboldt’s Personal Narrative
1770,1771,See Aragon,1,Aragon
1771,1772,See Tram,1,Tram
1772,1773,See Penal Jurisprudence,1,Penal Jurisprudence
1792,1793,See Diptera,1,Diptera
1793,1794,See Tall,1,Tall
1794,1795,See also Rlgne Animal,1,also Rlgne Animal
1795,1796,See particularly Cotelerii “ Ecclesiae Grsecae Monumenta,1,particularly Cotelerii “ Ecclesiae Grsecae Monumenta
1815,1816,See the article Elliptograph,1,the article Elliptograph
1816,1817,See the article Cranmer,1,the article Cranmer
1817,1818,See Somnambula,1,Somnambula
1818,1819,See Journal de Mede'cine,1,Journal de Mede'cine
1819,1820,See Aurora Borealis,1,Aurora Borealis
1820,1821,See Hell,1,Hell
1821,1822,"See Me
teorology",1,"Me
teorology"
1822,1823,See Melody,1,Melody
1823,1824,See Poitiers,1,Poitiers
1824,1825,See Herodot,1,Herodot
1825,1826,See Monster,1,Monster
1826,1827,"See Me
dicine",1,"Me
dicine"
1827,1828,See IJJ'c of Sir Stamford Raf/les,1,IJJ'c of Sir Stamford Raf/les
1828,1829,See Herling,1,Herling
1829,1830,See Beykaneeu,1,Beykaneeu
1814,1815,"See Elements of the Philosophy of the
Human Mind",1,"Elements of the Philosophy of the
Human Mind"
1813,1814,See Porphyry Hornblende,1,Porphyry Hornblende
1812,1813,See also Anal,1,also Anal
1803,1804,"See Ktgne
Animal",1,"Ktgne
Animal"
1796,1797,See Shuckford’s Connect,1,Shuckford’s Connect
1797,1798,See Magnet,1,Magnet
1799,1800,"See Asia) are distinguished from the other nations of Asia
by their peculiar physiognomy",1,"Asia) are distinguished from the other nations of Asia
by their peculiar physiognomy"
1800,1801,"See Crusii Ihjpomne-
mala ad Theol",1,"Crusii Ihjpomne-
mala ad Theol"
1801,1802,See also Malte Brun,1,also Malte Brun
1802,1803,"See Architec- S-’Vv
TUR
CORIO",1,"Architec- S-’Vv
TUR
CORIO"
1804,1805,See § 101,1,§ 101
1811,1812,See Humboldt’s account of the ancient buildings of Callo and Cunnar,1,Humboldt’s account of the ancient buildings of Callo and Cunnar
1805,1806,See Liturgy,1,Liturgy
1806,1807,See also Introduction to Entomology,1,also Introduction to Entomology
1807,1808,See Cook,1,Cook
1808,1809,See Eichhom,1,Eichhom
1809,1810,See M,1,M
1810,1811,See Pht/siognomie des Serpens,1,Pht/siognomie des Serpens
1905,1906,See Health,1,Health
2034,2035,See Iddl Trans,1,Iddl Trans
1907,1908,See our article Electricity,1,our article Electricity
2001,2002,See the blood of a mortal,1,the blood of a mortal
2003,2004,See Thermometer and Pyrome- lower than any yet discovered artificial cold,1,Thermometer and Pyrome- lower than any yet discovered artificial cold
2004,2005,See Humboldt in Observations Zooloyiqnes,1,Humboldt in Observations Zooloyiqnes
2005,2006,"See Theoretical
Astronomy",1,"Theoretical
Astronomy"
2006,2007,See Roget’s Bridge-water Treatise,1,Roget’s Bridge-water Treatise
2007,2008,See Mahrattas,1,Mahrattas
2008,2009,See an Essay towards an Eviction of the Attrinutes of God,1,an Essay towards an Eviction of the Attrinutes of God
2009,2010,"See Che- O *
mistry",1,"Che- O *
mistry"
2010,2011,See Extasy,1,Extasy
2011,2012,"See Buckhardt’s Travel sin Nubia; Waddington your-
nal of a Visit to some parts of Ethiopia; Richardson’s Tra
vels in the East; Henniker’s Notes of a Visit to Egypt and
Nubia; Hoskins’ Travels in Ethiopia ; Belzoni’s JSarratm
of Operations and Discoveries in Egypt and Nubia ; Gau s
Nubia ; Life and Adventures of Giovanni Finuti; Russell s
Nubia and Abyssinia; the work entitled British Museum;
and Heeren’s Historical Researches) 0-)
NUBIAN Desert",1,"Buckhardt’s Travel sin Nubia; Waddington your-
nal of a Visit to some parts of Ethiopia; Richardson’s Tra
vels in the East; Henniker’s Notes of a Visit to Egypt and
Nubia; Hoskins’ Travels in Ethiopia ; Belzoni’s JSarratm
of Operations and Discoveries in Egypt and Nubia ; Gau s
Nubia ; Life and Adventures of Giovanni Finuti; Russell s
Nubia and Abyssinia; the work entitled British Museum;
and Heeren’s Historical Researches) 0-)
NUBIAN Desert"
2012,2013,See Memoirs of the House of Brandenburg,1,Memoirs of the House of Brandenburg
2013,2014,See 1 Kings,1,1 Kings
2014,2015,See Ears,1,Ears
2015,2016,"See Barthelemy’s Reflections on the
Palmyran Alphabet",1,"Barthelemy’s Reflections on the
Palmyran Alphabet"
2016,2017,See Muller’s Samlung Russischer Geschichte,1,Muller’s Samlung Russischer Geschichte
2017,2018,See Civility,1,Civility
2002,2003,See Cross and Exaltation,1,Cross and Exaltation
2000,2001,See also Quarterly Review,1,also Quarterly Review
1982,1983,See the same illustrious writer’s Historia Gotthoruin,1,the same illustrious writer’s Historia Gotthoruin
1999,2000,"See Geo
graphy",1,"Geo
graphy"
1984,1985,See Xenophon’s Memorab,1,Xenophon’s Memorab
1985,1986,See Optics and Mechanics,1,Optics and Mechanics
1986,1987,See Life of Aldus Manutius the Elder,1,Life of Aldus Manutius the Elder
1987,1988,See Triglyph,1,Triglyph
1988,1989,See Oss,1,Oss
1989,1990,See Helminthology,1,Helminthology
1990,1991,See Dun,1,Dun
1991,1992,See Orkney,1,Orkney
1992,1993,"See Extracts from evidence received by the Commissioners of Inquiry : ‘We have cases of three generations o p P > P-- •
See at p",1,"Extracts from evidence received by the Commissioners of Inquiry : ‘We have cases of three generations o p P > P-- •
at p"
1993,1994,"See how the
nocturnal flies are tormenting the herd",1,"how the
nocturnal flies are tormenting the herd"
1994,1995,See preserve always the same position,1,preserve always the same position
1995,1996,See M‘Culloch’s Dictionary of Commerce,1,M‘Culloch’s Dictionary of Commerce
1996,1997,See Battle-Axc,1,Battle-Axc
1997,1998,See Annates des Sciences Nat,1,Annates des Sciences Nat
1998,1999,See Discus,1,Discus
2018,2019,See Law,1,Law
2019,2020,"See List of 2000 MkroscoDlr ""ot rel)eat^d 111 the Micrographia",1,"List of 2000 MkroscoDlr ""ot rel)eat^d 111 the Micrographia"
2020,2021,See Ituddiman,1,Ituddiman
2021,2022,See Ly ell’s Principles of Geology,1,Ly ell’s Principles of Geology
2040,2041,See Britton’s Beauties of England,1,Britton’s Beauties of England
2041,2042,See Papers laid before Congress,1,Papers laid before Congress
2042,2043,"See Geo
metry",1,"Geo
metry"
2043,2044,"See Toleration ^ inUn S puvate
the population and agriculture once more into a flourishina NON-NATURAT S in
",1,"Toleration ^ inUn S puvate
the population and agriculture once more into a flourishina NON-NATURAT S in
"
2044,2045,See “ The Cocker,1,“ The Cocker
2045,2046,See our general sketch,1,our general sketch
2046,2047,See Crimea,1,Crimea
2047,2048,See Ins work De t'Altaque et ic la Defense des Places,1,Ins work De t'Altaque et ic la Defense des Places
2048,2049,See Narrow,1,Narrow
2049,2050,See Distyle,1,Distyle
2050,2051,See Shaw’s General Zoology,1,Shaw’s General Zoology
2051,2052,See Recherche* stir les Caracte,1,Recherche* stir les Caracte
2052,2053,See Legislation,1,Legislation
2053,2054,See also Memorials of Columbus,1,also Memorials of Columbus
2054,2055,See M‘Culloch’s Commercial Dictionary,1,M‘Culloch’s Commercial Dictionary
2039,2040,See Dianthus,1,Dianthus
2038,2039,"See the preceding sec
tion on Field Artillery",1,"the preceding sec
tion on Field Artillery"
2037,2038,"See Cataphrygians
and Montanists",1,"Cataphrygians
and Montanists"
2028,2029,"See the Binl iographical Appendix to Horn e’s
Introduction ; Orme's Binliotheca Binlica ; and Winer’s Handbuch der
Theologischen Litteratur",1,"the Binl iographical Appendix to Horn e’s
Introduction ; Orme's Binliotheca Binlica ; and Winer’s Handbuch der
Theologischen Litteratur"
2022,2023,See also Rickards,1,also Rickards
2023,2024,See Hartmann s hidnsi Voyages des Idollandois,1,Hartmann s hidnsi Voyages des Idollandois
2024,2025,See Factorage,1,Factorage
2025,2026,See Ignatius,1,Ignatius
2026,2027,See dementi’s admirable preludes in imitation of the different styles of Haydn,1,dementi’s admirable preludes in imitation of the different styles of Haydn
2027,2028,See Rutilitc,1,Rutilitc
2029,2030,See Beeroo Isle,1,Beeroo Isle
2036,2037,See the article Benin,1,the article Benin
2030,2031,"See of Argyle 1200
discussion i",1,"of Argyle 1200
discussion i"
2031,2032,See History of Persia,1,History of Persia
2032,2033,See the article Arch,1,the article Arch
2033,2034,See also 1 Thes,1,also 1 Thes
1757,1758,See Life of Milton,1,Life of Milton
2035,2036,See Transactions of the Royal Society of Edinburgh,1,Transactions of the Royal Society of Edinburgh
1983,1984,"See Pearson on theCreed; Burnet’s Exposition of theThirty-
nine Articles; Wardlaw’s Discourses on the Socinian Controversy;
THEOLOGY",1,"Pearson on theCreed; Burnet’s Exposition of theThirty-
nine Articles; Wardlaw’s Discourses on the Socinian Controversy;
THEOLOGY"
1981,1982,See Leems’s Account of Finmark and Lapland,1,Leems’s Account of Finmark and Lapland
1908,1909,"See the arti
cle Bee",1,"the arti
cle Bee"
1926,1927,"See the article
of that industrious nation settled on the island of Lucon",1,"the article
of that industrious nation settled on the island of Lucon"
1928,1929,See Ghinelins,1,Ghinelins
1929,1930,See the Tableau Historique des Progres de V Ichtyologie^ dcpuis son origine jusqu a nos jours,1,the Tableau Historique des Progres de V Ichtyologie^ dcpuis son origine jusqu a nos jours
1930,1931,"See Philoso
phy and Physics",1,"Philoso
phy and Physics"
1931,1932,See Acts,1,Acts
1932,1933,See Cabot,1,Cabot
1933,1934,See the article Orinoco,1,the article Orinoco
1934,1935,See Appendix B,1,Appendix B
1935,1936,See Note GG,1,Note GG
1936,1937,See Lend,1,Lend
1937,1938,See Apocalypse,1,Apocalypse
1938,1939,See Language and Philology,1,Language and Philology
1939,1940,See a figure in Belidor,1,a figure in Belidor
1940,1941,See Castalius,1,Castalius
1941,1942,See also Hamilton’s Egyptiaca,1,also Hamilton’s Egyptiaca
1942,1943,See his work,1,his work
1927,1928,See Chap,1,Chap
1925,1926,See York,1,York
1980,1981,See his History,1,his History
1924,1925,See the five Reports of this Committee,1,the five Reports of this Committee
1909,1910,"See also his
Astronomic Theorique et Pratique",1,"also his
Astronomic Theorique et Pratique"
1910,1911,See Tone,1,Tone
1911,1912,See Napoleon,1,Napoleon
1912,1913,"See ^pinit flJe
debates were less noisy",1,"^pinit flJe
debates were less noisy"
1913,1914,See Circoncelliones,1,Circoncelliones
1914,1915,See Gun-Making,1,Gun-Making
1915,1916,See 9 and 10 in fig,1,9 and 10 in fig
1916,1917,"See Stavorinus’s Voyages to the East Indies; Barrow's
Voyage to Cochin China ; Sir George Staunton’s Embassy
to China ; Thorn’s Memoir of the Conquest of Java ; Sir
Stamford Raffles’s History of Java",1,"Stavorinus’s Voyages to the East Indies; Barrow's
Voyage to Cochin China ; Sir George Staunton’s Embassy
to China ; Thorn’s Memoir of the Conquest of Java ; Sir
Stamford Raffles’s History of Java"
1917,1918,See Account ordered by the House of Commons,1,Account ordered by the House of Commons
1918,1919,See Verd,1,Verd
